source_url,source_locale,target_url,target_locale,link_text,context,indexable,allowed,enforced,reason
"https://funnytools.win/en/guides/pdf-split-vs-extract-vs-delete/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-table-to-excel-header-check-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-image-background-contrast-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-image-multipage-download-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-image-print-crop-marks-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-image-raster-text-search-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-image-resolution-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-word-form-field-editing-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-word-layout-fidelity-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-word-ocr-language-check-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-to-word-review-track-changes-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/pdf-upload-failed-troubleshooting/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/percentage-grade-to-gpa-conversion-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/percentage-shortcuts-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/percentile-rank-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/photos-to-pdf-phone-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-accessible-fallback-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-before-print-testing-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-classroom-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-destination-change-log-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-event-page-expiry-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-mobile-landing-page-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-multi-placement-consistency-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-multilingual-switch-testing-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-payload-length-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-scan-failure-field-troubleshooting-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/qr-code-utm-campaign-link-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/seating-chart-changeover-routine-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/seating-chart-student-needs-intake-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/split-pdf-output-naming-batch-delivery-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/split-pdf-page-range-planning-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/spss-levene-test-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/t-score-calculator-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/t-test-apa-format-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/teacher-exam-weighted-score-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/two-way-anova-interaction-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/word-count-essay-limits-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/guides/z-score-calculator-guide/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/age-calculator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
