url,locale,locale_group,page_type,content_cluster,sitemap,sitemap_lastmod,sitemap_lastmod_age_days,production_status,indexable,internal_link_count,internal_link_source_count,crawl_depth,word_count,main_content_word_count,unique_content_ratio,value_score,title,tool_slug,functional_signature,signature_confidence,similarity_pair_count,max_raw_similarity,max_boilerplate_adjusted_similarity,intent_relationships,v2_action,v2_similarity_risk,google_status,google_known,google_crawled,google_indexed,inspected_at,inspection_result_link,verdict,coverage_state,robots_txt_state,indexing_state,last_crawl_time,last_crawl_age_days,crawl_recency_bucket,page_fetch_state,google_canonical,user_canonical,canonical_category,crawled_as,sitemap_count,sitemap_urls,referring_url_count,referring_urls,weak_discovery_support,rich_results_available,api_error,api_status,search_28_clicks,search_28_impressions,search_28_ctr,search_28_position,search_90_clicks,search_90_impressions,search_90_ctr,search_90_position
https://funnytools.win/category/study/,zh-TW,zh,category,study,sitemap-guides.xml,2026-09-03,10,200 live verified,yes,50,17,1,1672,1645,0.9838516746411483,,學生與老師免費工具｜點名、分組、座位表、成績計算 - FunnyTools,,,,4,0.841,0.693,ADJACENT; UNKNOWN,IMPROVE,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:01.717Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=_j4dVyi1W0T7NNaSua6toA&utm_medium=link&utm_source=api,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-08-01T07:29:05Z,43,>30 days,SUCCESSFUL,https://funnytools.win/category/study/,https://funnytools.win/category/study/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/study/; https://funnytools.win/; https://funnytools.win/tools/gpa-calculator/,no,UNKNOWN,,200,,,,,,,,
https://funnytools.win/category/text/,zh-TW,zh,category,text,sitemap-guides.xml,2026-09-02,11,200 live verified,yes,73,36,1,2618,2591,0.9896867838044309,,文字與寫作免費工具｜字數統計、大小寫、文字清理 - FunnyTools,,,,3,0.816,0.639,ADJACENT,IMPROVE,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:02.123Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=dn5Q_sx1jCase0iCCOPIhA&utm_medium=link&utm_source=api,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-08-14T04:41:13Z,30,15–30 days,SUCCESSFUL,https://funnytools.win/category/text/,https://funnytools.win/category/text/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/text/; https://funnytools.win/; https://funnytools.win/tools/remove-empty-lines/,no,UNKNOWN,,200,,,,,0,11,0,6.636363636363637
https://funnytools.win/category/time/,zh-TW,zh,category,time,sitemap-guides.xml,2026-08-01,43,200 live verified,yes,53,29,1,1775,1748,0.9847887323943662,,工作與時間免費工具｜番茄鐘、倒數計時、日期計算 - FunnyTools,,,,1,0.8,0.621,ADJACENT,IMPROVE,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:08.152Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=n5rVfS8IVbwwH89oj0Ugnw&utm_medium=link&utm_source=api,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-08-10T02:23:26Z,34,>30 days,SUCCESSFUL,https://funnytools.win/category/time/,https://funnytools.win/category/time/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/time/; https://funnytools.win/; https://funnytools.win/tools/,no,UNKNOWN,,200,,,,,,,,
https://funnytools.win/contact/,zh-TW,zh,legal,general,sitemap-guides.xml,2026-07-31,44,200 live verified,yes,29,313,1,1319,1299,0.9848369977255497,,聯絡我們｜問題回報與工具建議 - FunnyTools,,,,0,,,,IMPROVE,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:08.903Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=VfmjqqETdZsZyXPPlVGTrA&utm_medium=link&utm_source=api,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-09-02T03:41:45Z,11,7–14 days,SUCCESSFUL,https://funnytools.win/contact/,https://funnytools.win/contact/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/contact/; https://funnytools.win/; https://funnytools.win/tools/,no,UNKNOWN,,200,0,3,0,1.6666666666666665,0,3,0,1.6666666666666665
https://funnytools.win/disclaimer/,zh-TW,zh,legal,general,sitemap-guides.xml,2026-06-17,88,200 live verified,yes,29,313,1,1320,1301,0.9856060606060606,,免責聲明｜工具結果僅供參考 - FunnyTools,,,,0,,,,IMPROVE,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:09.347Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=86epDjgR2Ouhtxvc43b8nA&utm_medium=link&utm_source=api,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-08-18T04:02:21Z,26,15–30 days,SUCCESSFUL,https://funnytools.win/disclaimer/,https://funnytools.win/disclaimer/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/; https://funnytools.win/tools/what-to-eat/,no,UNKNOWN,,200,,,,,0,24,0,6.916666666666667
https://funnytools.win/education-statistics/,zh-TW,zh,other,statistics,sitemap-guides.xml,2026-09-03,10,200 live verified,yes,76,312,1,3062,3035,0.9911822338340953,,教育與統計工具中心 | 教師考試與研究統計工具 - FunnyTools,,,,2,0.891,0.715,ADJACENT,IMPROVE,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:15.392Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=JEAW9eAXUt396VybZJLewQ&utm_medium=link&utm_source=api,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-07-16T16:37:45Z,58,>30 days,SUCCESSFUL,https://funnytools.win/education-statistics/,https://funnytools.win/education-statistics/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/; http://funnytools.win/education-statistics/,no,UNKNOWN,,200,,,,,0,1,0,2
https://funnytools.win/en/,en,en,home,general,sitemap-en.xml,2026-09-10,3,200 live verified,yes,250,407,0,1605,1594,0.9931464174454828,,"Free Online Tools - PDF, Image, Text & QR | FunnyTools",,,,0,,,,KEEP,low,Indexed,yes,yes,yes,2026-09-13T08:14:16.030Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Cf1qJ-GYEcDYWjjWJYGQkw&utm_medium=link&utm_source=api,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-09-11T22:37:47Z,1,<7 days,SUCCESSFUL,https://funnytools.win/en/,https://funnytools.win/en/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/fr/; https://funnytools.win/; https://funnytools.win/en/category/text/,no,UNKNOWN,,200,1,20,0.05,8.95,3,97,0.030927835051546393,8.092783505154639
https://funnytools.win/en/about-tools/,en,en,legal,general,sitemap-en.xml,2026-06-17,88,200 live verified,yes,30,194,1,644,633,0.9829192546583851,,How Our Tools Work | Local Browser Processing - FunnyTools,,,,0,,,,KEEP,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:16.546Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=G_pqP7uCIpADMWAB2Ra6zw&utm_medium=link&utm_source=api,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-05T06:36:52Z,39,>30 days,SUCCESSFUL,https://funnytools.win/en/about-tools/,https://funnytools.win/en/about-tools/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/about-tools/; https://funnytools.win/en/category/statistics/; https://funnytools.win/en/tools/,no,UNKNOWN,,200,,,,,0,2,0,7
https://funnytools.win/en/about/,en,en,legal,general,sitemap-en.xml,2026-09-02,11,200 live verified,yes,29,193,1,943,934,0.9904559915164369,,About Us | Free Online Toolbox - FunnyTools,,,,0,,,,IMPROVE,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:22.296Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=InMvoHCSuwiZr2hKsKP5Wg&utm_medium=link&utm_source=api,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-16T17:36:32Z,27,15–30 days,SUCCESSFUL,https://funnytools.win/en/about/,https://funnytools.win/en/about/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/statistics/; https://funnytools.win/about/; https://funnytools.win/en/tools/,no,UNKNOWN,,200,,,,,0,11,0,2
https://funnytools.win/en/category/draw/,en,en,category,draw,sitemap-en.xml,2026-09-02,11,200 live verified,yes,45,13,1,735,725,0.9863945578231292,,"Drawing & Chart Tools | CAD, Flowcharts & Charts - FunnyTools",,,,0,,,,KEEP,low,Crawled Not Indexed,yes,yes,no,2026-09-13T08:14:23.199Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=f7JpSzi5eH6exqXunzaWYg&utm_medium=link&utm_source=api,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-07-16T15:41:04Z,58,>30 days,SUCCESSFUL,https://funnytools.win/en/category/draw/,https://funnytools.win/en/category/draw/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/es/categorias/dibujo/; https://funnytools.win/en/; https://funnytools.win/en/tools/,no,UNKNOWN,,200,,,,,0,7,0,19.142857142857142
