url,tool_slug,locale,content_cluster,functional_signature,google_status,google_known,google_crawled,google_indexed,coverage_state,last_crawl_time,google_canonical,user_canonical,canonical_category,internal_link_count,crawl_depth,value_score,search_28_clicks,search_28_impressions,search_28_position,referring_url_count,sitemap_count,inspection_result_link
https://funnytools.win/tools/class-rank-percentile-calculator/,class-rank-percentile-calculator,zh-TW,statistics,calculate|class-rank-percentile|class-rank-percentile|calculated-result|class-rank-percentile|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-19T01:54:04Z,https://funnytools.win/tools/class-rank-percentile-calculator/,https://funnytools.win/tools/class-rank-percentile-calculator/,SELF_MATCH,48,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=RUYOaa1S0ZKkWXCv80Ahew&utm_medium=link&utm_source=api
https://funnytools.win/tools/color-generator/,color-generator,zh-TW,random,generate|color|color|generated-result|color|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-13T14:37:00Z,https://funnytools.win/tools/color-generator/,https://funnytools.win/tools/color-generator/,SELF_MATCH,48,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=MAIjnXopP67QwCjps2CYyA&utm_medium=link&utm_source=api
https://funnytools.win/tools/compound-interest/,compound-interest,zh-TW,money,use|compound-interest|compound-interest|tool-result|compound-interest|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-30T04:34:55Z,https://funnytools.win/tools/compound-interest/,https://funnytools.win/tools/compound-interest/,SELF_MATCH,47,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=hnSYD1dGWfLQZrFT0QFAYQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/countdown-timer/,countdown-timer,zh-TW,time,use|countdown-timer|countdown-timer|tool-result|countdown-timer|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-14T02:47:43Z,https://funnytools.win/tools/countdown-timer/,https://funnytools.win/tools/countdown-timer/,SELF_MATCH,53,1,,0,1,86,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=dtf2QXcumOOQGykff8oDWw&utm_medium=link&utm_source=api
https://funnytools.win/tools/cronbach-alpha-calculator/,cronbach-alpha-calculator,zh-TW,statistics,calculate|cronbach-alpha|cronbach-alpha|calculated-result|cronbach-alpha|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-18T22:35:45Z,https://funnytools.win/tools/cronbach-alpha-calculator/,https://funnytools.win/tools/cronbach-alpha-calculator/,SELF_MATCH,47,1,,0,1,76,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=-6-cqvB0o8PzmgS3Ko4gSw&utm_medium=link&utm_source=api
https://funnytools.win/tools/csv-to-json/,csv-to-json,zh-TW,text,convert|csv|json|json-data|data-format-conversion|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-18T22:09:13Z,https://funnytools.win/tools/csv-to-json/,https://funnytools.win/tools/csv-to-json/,SELF_MATCH,51,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=eUY-jwE9oav13M851R8G0Q&utm_medium=link&utm_source=api
https://funnytools.win/tools/date-difference/,date-difference,zh-TW,time,use|date-difference|date-difference|tool-result|date-difference|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-14T02:47:42Z,https://funnytools.win/tools/date-difference/,https://funnytools.win/tools/date-difference/,SELF_MATCH,51,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=09XNjY5gjHxTkb4-PwWNAw&utm_medium=link&utm_source=api
https://funnytools.win/tools/delete-pdf-pages/,delete-pdf-pages,zh-TW,pdf,delete|pdf|pdf|remove-selected-pages|pdf-page-editing|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-19T10:39:04Z,https://funnytools.win/tools/delete-pdf-pages/,https://funnytools.win/tools/delete-pdf-pages/,SELF_MATCH,49,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=HXxKmRbkoencDLq_esP7YQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/dice-roller/,dice-roller,zh-TW,random,generate|dice-roller|dice-roller|generated-result|dice-roller|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-08T13:50:54Z,https://funnytools.win/tools/dice-roller/,https://funnytools.win/tools/dice-roller/,SELF_MATCH,51,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=xMbRbAnnX_lVXasVLoz71A&utm_medium=link&utm_source=api
https://funnytools.win/tools/extract-pdf-pages/,extract-pdf-pages,zh-TW,pdf,extract|pdf|pdf|new-document-from-selected-pages|pdf-page-editing|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-19T11:16:34Z,https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/extract-pdf-pages/,SELF_MATCH,51,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=SKyUhtol4UgdzH-ef0zoBQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/flowchart/,flowchart,zh-TW,draw,create|flowchart|flowchart|created-artifact|flowchart|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-17T00:46:24Z,https://funnytools.win/tools/flowchart/,https://funnytools.win/tools/flowchart/,SELF_MATCH,51,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=J3RGx686wI_CRyABtc8xlA&utm_medium=link&utm_source=api
https://funnytools.win/tools/gpa-calculator/,gpa-calculator,zh-TW,study,calculate|gpa|gpa|calculated-result|gpa|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-13T19:33:45Z,https://funnytools.win/tools/gpa-calculator/,https://funnytools.win/tools/gpa-calculator/,SELF_MATCH,51,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=eHgvtlzfSZLsIh_y6mB0HA&utm_medium=link&utm_source=api
https://funnytools.win/tools/grade-average/,grade-average,zh-TW,statistics,calculate|grades|average-grade|grade-average|grade-calculation|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-09-04T14:49:37Z,https://funnytools.win/tools/grade-average/,https://funnytools.win/tools/grade-average/,SELF_MATCH,53,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=OpqTYbSTyFLHHVOWNypyXg&utm_medium=link&utm_source=api
https://funnytools.win/tools/group-generator/,group-generator,zh-TW,study,generate|group|group|generated-result|group|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-16T03:49:08Z,https://funnytools.win/tools/group-generator/,https://funnytools.win/tools/group-generator/,SELF_MATCH,52,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=YiCoO93STxNLdsBnKpb_XA&utm_medium=link&utm_source=api
https://funnytools.win/tools/image-compressor/,image-compressor,zh-TW,image,compress|image-compressor|image-compressor|smaller-file|image-compressor|general,Unknown,no,unknown,unknown,Google 無法辨識的網址,,,,GOOGLE_CANONICAL_ABSENT,53,1,,,,,0,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=A2mHdNr-i_KkvYKY2N_w8A&utm_medium=link&utm_source=api
https://funnytools.win/tools/image-crop/,image-crop,zh-TW,image,transform|image-crop|image-crop|transformed-output|image-crop|general,Unknown,no,unknown,unknown,Google 無法辨識的網址,,,,GOOGLE_CANONICAL_ABSENT,51,1,,,,,0,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=s1YDBqYks4AJlTGeC74aUg&utm_medium=link&utm_source=api
https://funnytools.win/tools/image-resizer/,image-resizer,zh-TW,image,transform|image-resizer|image-resizer|transformed-output|image-resizer|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-21T12:12:53Z,https://funnytools.win/tools/image-resizer/,https://funnytools.win/tools/image-resizer/,SELF_MATCH,53,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=KcCxGe5jaAJOMC1fuQWY9w&utm_medium=link&utm_source=api
https://funnytools.win/tools/image-rotate-flip/,image-rotate-flip,zh-TW,image,transform|image-rotate-flip|image-rotate-flip|transformed-output|image-rotate-flip|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-13T00:55:12Z,https://funnytools.win/tools/image-rotate-flip/,https://funnytools.win/tools/image-rotate-flip/,SELF_MATCH,48,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=biSJR31AQCVkVn1wt1f4XQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/image-to-base64/,image-to-base64,zh-TW,image,convert|image|base64|base64-output|directional-conversion|general,Unknown,no,unknown,unknown,Google 無法辨識的網址,,,,GOOGLE_CANONICAL_ABSENT,49,1,,,,,0,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=uDMq5x_RKNyFyVY5nttEmA&utm_medium=link&utm_source=api
https://funnytools.win/tools/image-to-dxf/,image-to-dxf,zh-TW,draw,convert|image|dxf|dxf-output|directional-conversion|general,Unknown,no,unknown,unknown,Google 無法辨識的網址,,,,GOOGLE_CANONICAL_ABSENT,44,1,,,,,0,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Tn9DvouXxWTfe7gqJSyxeQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/images-to-pdf/,images-to-pdf,zh-TW,pdf,convert|images|pdf|pdf-output|directional-conversion|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-30T04:42:19Z,https://funnytools.win/tools/images-to-pdf/,https://funnytools.win/tools/images-to-pdf/,SELF_MATCH,51,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=e1hodt_IUYWdhWZokef3Jw&utm_medium=link&utm_source=api
https://funnytools.win/tools/independent-samples-t-test-calculator/,independent-samples-t-test-calculator,zh-TW,statistics,calculate|independent-samples-t-test|independent-samples-t-test|calculated-result|independent-samples-t-test|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-20T16:57:58Z,https://funnytools.win/tools/independent-samples-t-test-calculator/,https://funnytools.win/tools/independent-samples-t-test-calculator/,SELF_MATCH,51,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=jYq9Eg2Vdrw5C8RzfjT3-w&utm_medium=link&utm_source=api
https://funnytools.win/tools/inflation/,inflation,zh-TW,money,use|inflation|inflation|tool-result|inflation|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-09-04T15:50:56Z,https://funnytools.win/tools/inflation/,https://funnytools.win/tools/inflation/,SELF_MATCH,47,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=dtoAFnIIYiT2MOttPFcqdg&utm_medium=link&utm_source=api
https://funnytools.win/tools/jpg-to-png/,jpg-to-png,zh-TW,image,convert|jpg|png|png-file|image-format-conversion|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-07-17T10:39:30Z,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/jpg-to-png/,SELF_MATCH,49,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=U6un46WMh9vbMdwyXwkPAQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/jpg-to-webp/,jpg-to-webp,zh-TW,image,convert|jpg|webp|webp-file|image-format-conversion|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-07-31T20:18:32Z,https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/jpg-to-webp/,SELF_MATCH,51,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ehyyckdGW6esaH4kkzfAtA&utm_medium=link&utm_source=api
https://funnytools.win/tools/json-formatter/,json-formatter,zh-TW,text,format|json-formatter|json-formatter|formatted-output|json-formatter|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-13T03:14:50Z,https://funnytools.win/tools/json-formatter/,https://funnytools.win/tools/json-formatter/,SELF_MATCH,51,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=vC3zD8k7R7tPKLlJc-VHig&utm_medium=link&utm_source=api
https://funnytools.win/tools/json-to-csv/,json-to-csv,zh-TW,text,convert|json|csv|csv-data|data-format-conversion|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-22T00:39:55Z,https://funnytools.win/tools/json-to-csv/,https://funnytools.win/tools/json-to-csv/,SELF_MATCH,50,1,,,,,4,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=QHhZEMJXFVl8BShxiL-gUw&utm_medium=link&utm_source=api
https://funnytools.win/tools/markdown-previewer/,markdown-previewer,zh-TW,text,preview|markdown-previewer|markdown-previewer|preview|markdown-previewer|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-18T22:51:31Z,https://funnytools.win/tools/markdown-previewer/,https://funnytools.win/tools/markdown-previewer/,SELF_MATCH,48,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=4nSWyvT5WqHPXSkZlIm4fA&utm_medium=link&utm_source=api
