url,inspected_at,inspection_result_link,url_status,google_known,google_crawled,google_indexed,verdict,coverage_state,robots_txt_state,indexing_state,last_crawl_time,page_fetch_state,google_canonical,user_canonical,canonical_category,crawled_as,sitemap_count,sitemap_urls,referring_url_count,referring_urls,rich_results_available,api_error,api_status,last_crawl_age_days,crawl_recency_bucket,weak_discovery_support
https://funnytools.win/category/study/,2026-09-13T08:14:01.717Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=_j4dVyi1W0T7NNaSua6toA&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-08-01T07:29:05Z,SUCCESSFUL,https://funnytools.win/category/study/,https://funnytools.win/category/study/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/study/; https://funnytools.win/; https://funnytools.win/tools/gpa-calculator/,UNKNOWN,,200,43,>30 days,no
https://funnytools.win/category/text/,2026-09-13T08:14:02.123Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=dn5Q_sx1jCase0iCCOPIhA&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-08-14T04:41:13Z,SUCCESSFUL,https://funnytools.win/category/text/,https://funnytools.win/category/text/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/text/; https://funnytools.win/; https://funnytools.win/tools/remove-empty-lines/,UNKNOWN,,200,30,15–30 days,no
https://funnytools.win/category/time/,2026-09-13T08:14:08.152Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=n5rVfS8IVbwwH89oj0Ugnw&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-08-10T02:23:26Z,SUCCESSFUL,https://funnytools.win/category/time/,https://funnytools.win/category/time/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/time/; https://funnytools.win/; https://funnytools.win/tools/,UNKNOWN,,200,34,>30 days,no
https://funnytools.win/contact/,2026-09-13T08:14:08.903Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=VfmjqqETdZsZyXPPlVGTrA&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-09-02T03:41:45Z,SUCCESSFUL,https://funnytools.win/contact/,https://funnytools.win/contact/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/contact/; https://funnytools.win/; https://funnytools.win/tools/,UNKNOWN,,200,11,7–14 days,no
https://funnytools.win/disclaimer/,2026-09-13T08:14:09.347Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=86epDjgR2Ouhtxvc43b8nA&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-08-18T04:02:21Z,SUCCESSFUL,https://funnytools.win/disclaimer/,https://funnytools.win/disclaimer/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/; https://funnytools.win/tools/what-to-eat/,UNKNOWN,,200,26,15–30 days,no
https://funnytools.win/education-statistics/,2026-09-13T08:14:15.392Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=JEAW9eAXUt396VybZJLewQ&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,已檢索 - 目前尚未建立索引,ALLOWED,INDEXING_ALLOWED,2026-07-16T16:37:45Z,SUCCESSFUL,https://funnytools.win/education-statistics/,https://funnytools.win/education-statistics/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/; http://funnytools.win/education-statistics/,UNKNOWN,,200,58,>30 days,no
https://funnytools.win/en/,2026-09-13T08:14:16.030Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Cf1qJ-GYEcDYWjjWJYGQkw&utm_medium=link&utm_source=api,Indexed,yes,yes,yes,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-09-11T22:37:47Z,SUCCESSFUL,https://funnytools.win/en/,https://funnytools.win/en/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/fr/; https://funnytools.win/; https://funnytools.win/en/category/text/,UNKNOWN,,200,1,<7 days,no
https://funnytools.win/en/about-tools/,2026-09-13T08:14:16.546Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=G_pqP7uCIpADMWAB2Ra6zw&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-05T06:36:52Z,SUCCESSFUL,https://funnytools.win/en/about-tools/,https://funnytools.win/en/about-tools/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/about-tools/; https://funnytools.win/en/category/statistics/; https://funnytools.win/en/tools/,UNKNOWN,,200,39,>30 days,no
https://funnytools.win/en/about/,2026-09-13T08:14:22.296Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=InMvoHCSuwiZr2hKsKP5Wg&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-16T17:36:32Z,SUCCESSFUL,https://funnytools.win/en/about/,https://funnytools.win/en/about/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/statistics/; https://funnytools.win/about/; https://funnytools.win/en/tools/,UNKNOWN,,200,27,15–30 days,no
https://funnytools.win/en/category/draw/,2026-09-13T08:14:23.199Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=f7JpSzi5eH6exqXunzaWYg&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-07-16T15:41:04Z,SUCCESSFUL,https://funnytools.win/en/category/draw/,https://funnytools.win/en/category/draw/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/es/categorias/dibujo/; https://funnytools.win/en/; https://funnytools.win/en/tools/,UNKNOWN,,200,58,>30 days,no
