pair_id,treatment_url,control_url,locale,cluster,treatment_main_content_hash_before,treatment_main_content_hash_after,treatment_unique_content_hash_before,treatment_unique_content_hash_after,treatment_changed,control_main_content_hash_before,control_main_content_hash_after,control_unique_content_hash_before,control_unique_content_hash_after,control_changed,treatment_added_content_fingerprint,treatment_word_count_before,treatment_word_count_after,control_word_count_before,control_word_count_after,changed_files
P2B-11,https://funnytools.win/fr/outils/calcul-moyenne-notes/,https://funnytools.win/fr/outils/calculateur-ecart-type/,fr,statistics,da1a05c3ba8fa460f5eab1c4b11597f7fa7f485905df3d90cfeeeb389968781d,239dfd4140ba251856aa7f71d31d5b47c980732baab1baa091d94ff5d9b0b2a8,2418cac2ee43707a21c0abcef2caa33ede8b50f5d698bcd1658a4d64ca5807bd,255a443b584738e3680895bc2992dd440a4ff92e6a9750ff4ab5278e94d75a21,yes,369293663d119d094405a3cfefeef689c844996472e18f9174061c1d91c84fba,369293663d119d094405a3cfefeef689c844996472e18f9174061c1d91c84fba,598a43800f6b5bcba48303b5dfa0a8f952941ab0e2fff472c764496e38d695ac,598a43800f6b5bcba48303b5dfa0a8f952941ab0e2fff472c764496e38d695ac,no,5a695e2197caee98cf6870329403d4342afedeb68334428fe26c4653f997073a,1915,2111,1537,1537,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-12,https://funnytools.win/fr/outils/calculateur-inflation-pouvoir-achat/,https://funnytools.win/fr/outils/calculateur-mensualite-pret-immobilier/,fr,money,b2cfd6eaac6a5745077eaabe26e7cbffdec0a9443064610f2893c40aed7f03b2,41867de849791a44997a17b85ffdf82da9b3f242098e66af01518869d2bfeb9a,c820c8fc99d55146d362acb33a6cf3a89fcfedce3890986cd3cad50f7123e73a,2d2f9b230699b482fdde20c2b587c1a566be36298d644ed479fcbf797c2812ed,yes,93dca21c94b571759e70f9aab16d3a8026082442eedcb10fa295a7a9201611eb,93dca21c94b571759e70f9aab16d3a8026082442eedcb10fa295a7a9201611eb,87d04019f951ee821d38e93a28ab233e9289d8a146b58764c40c00b72045131b,87d04019f951ee821d38e93a28ab233e9289d8a146b58764c40c00b72045131b,no,4f3473a0278c84b2e1590cfc00fe026dc392a7ac9374e6686dddaccde29eac68,2420,2619,2031,2031,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-13,https://funnytools.win/fr/outils/calculateur-jours-ouvres/,https://funnytools.win/fr/outils/rappel-pause-ecran/,fr,time,9a18311fcc93c7a9a4c09e478547b4d717c13b3081fd2b9f36a5b645e31e9192,751d469a6e3b20a463ea24bfc11984bf306caf5e550cd006bb4d60c1f2291928,925cfa7cb7919471870c83941b7363bd89748d78b4918bafa21b385e6850eb5c,ba06b65f0200836da48e2fa37d628b0d3ae04ab52ea9371bf0f9021e2b8ad695,yes,dff2712075efcdbe1231c36b55431342bafb68fc626cb13faed4f28848cd7dbd,dff2712075efcdbe1231c36b55431342bafb68fc626cb13faed4f28848cd7dbd,2913d5d29fd6895cca1753253be9e633f821a5e5f2b5f6d70011ce082b79bcaa,2913d5d29fd6895cca1753253be9e633f821a5e5f2b5f6d70011ce082b79bcaa,no,e693eae9a0d3fa8d698039f42c1fbc8842d516ebfc5f96cb75ab518a756e6e19,1967,2150,1928,1928,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-14,https://funnytools.win/fr/outils/calculateur-moyenne-ponderee/,https://funnytools.win/fr/outils/calculateur-score-t/,fr,statistics,bcd6e6b737ddb97d0ea4a0c3e3af11d7d111b98221074124d5f995b4afae3d9a,4bdb03d94485a91c5380175b9f74813abb9f61dc91524971a0fe0eae0e34e4a7,20cd8976a0df6f319a641a78c426ce1ae80b82295c26ea82c0dee18221df42fa,92f79cfc58a73f4a7527c20ef403275177fa927bea208b0e374b443914d5a89f,yes,1331744285e4d785608fd971e58355ed63e51752ae7b92be870d9bafd273e282,1331744285e4d785608fd971e58355ed63e51752ae7b92be870d9bafd273e282,4ea401389d65045543d30f660f78551c47f948cd06d403a430f7726056e58f82,4ea401389d65045543d30f660f78551c47f948cd06d403a430f7726056e58f82,no,5627e3846343b0c17b57c86a4893eae91349791a2bbd9138ebfc265be3f9f70e,1545,1748,1532,1532,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-15,https://funnytools.win/fr/outils/calculer-difference-entre-dates/,https://funnytools.win/fr/outils/convertir-timestamp-unix/,fr,time,c863e1a774fb349375b29c8b40d3ea65aa8484e7fd50b8f9b5d849b1efcb4f81,91cd4b38851bf53ac09f19a9d916bdc7d1f37a5aa74a4b9913c3055f999e7ec5,3f59317025776612bf48392f01f4608f705b482cea93ba3113fb2cc8fd7e4a5e,b2f216d7c4380c19a55c48fd67b40ee266992eb214fdf141a61bec02f84ee5d2,yes,f8f5e988ecc86e46519681f46d92741f7e04f606e550a3da51f53a3455523226,f8f5e988ecc86e46519681f46d92741f7e04f606e550a3da51f53a3455523226,2c1eed2ad6dbb56e6544a4e27d0914795126d91c280cf9af06cd2b41bcda84b6,2c1eed2ad6dbb56e6544a4e27d0914795126d91c280cf9af06cd2b41bcda84b6,no,7ba6b59d9089d62bc0584883bb3f1812cbcbfe6cbfd7a65b6734bf755f5d1bd5,2059,2265,1392,1392,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-16,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/cad-2d/,zh-TW,draw,fe727b3e9083e3ed4cc5d41f4a49e3b0bcea443275b5a90dd2a4fd264b261a59,aca51f6dc893a589a0ff6304c661830d3be5487fb9287e7409b06e29c4e4fd1f,e8e0264140c39be98dd4a3009c375cace43ec87706540ebeeec5cdb3ef371488,f9fb53b5e830fb9e39db3ab5661ad5bf4cd3575bae675f4ce633bc2a2385a0ff,yes,65f042c25e8d157f7207803b1fac4ee49ed02bf3e5f121044bef9ff2b6c2d09e,65f042c25e8d157f7207803b1fac4ee49ed02bf3e5f121044bef9ff2b6c2d09e,ddf1c6cb5a7f48d6b371e2523da3efa3af6698abfd63f9d2499db0ac46ec5413,ddf1c6cb5a7f48d6b371e2523da3efa3af6698abfd63f9d2499db0ac46ec5413,no,29e4c071932bbbb90bc3b28a528a1ce59bc869f9203d853643a3fad850f099ff,205,219,233,233,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-17,https://funnytools.win/tools/base64/,https://funnytools.win/tools/case-converter/,zh-TW,text,a795094d680b41ef7f7f8cd95031379624c2e82d738587d58996fcb8443e1977,4121bcabf023ee7b5ce5e6a9edf2c75559b630e123574f6ca243e486065fab30,6cad7052a00264a20e47e7c568350b0ec1adf9ddf66032e7282a9b9c9f547856,6cbaad5c5c594f34a166354b7f0bbb92c05e593f06af1d0ccb81118af446799a,yes,dfd91d9d4ae273d20d301fe886d756624964c4895cce4c170716e097d85cc7b1,dfd91d9d4ae273d20d301fe886d756624964c4895cce4c170716e097d85cc7b1,eb45913be3c6ddb776dcf6c1970f5e78479aa911dec10f270452cb48904cc5de,eb45913be3c6ddb776dcf6c1970f5e78479aa911dec10f270452cb48904cc5de,no,a390ed8bc54b6b7484e94a2dc14a0c54048e3aa1e2175a4109e75bc678104b4a,267,310,243,243,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-18,https://funnytools.win/tools/cronbach-alpha-calculator/,https://funnytools.win/tools/class-rank-percentile-calculator/,zh-TW,statistics,da1f6431f33d7df1ec15a289cb3f0d49e7e050cf5a38a5a6cb2c99787e2ba313,7b2c3af968b1b06324f9ba530e9974043c162632f08b18a7b6ab26bbec885360,b6854bdd9267f59148e0be73bc8228b3c49fea580e8e83da83d72fb5e0a5855e,6edbf34d990636435b77b29e4675f05a082727d4f78f478a44b171d335d23351,yes,3bb77dafc001705d442a95f40812ab388efeb11af8e3eaab61f710e680379ab2,3bb77dafc001705d442a95f40812ab388efeb11af8e3eaab61f710e680379ab2,dd4de6ba63dc3830036fca50f155421268d5cf2437918bcf43345640caa607e1,dd4de6ba63dc3830036fca50f155421268d5cf2437918bcf43345640caa607e1,no,ca36e27b612aa85efe42960fc34ee4d39aff376f7782521beba3022c771fc426,254,288,326,326,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-19,https://funnytools.win/tools/seating-chart/,https://funnytools.win/tools/gpa-calculator/,zh-TW,study,b8429a301892b20b2c83c756baa0019b9db35056918c0303cb93462d29dd5bfb,1edb29c1b1bbf17d7629ea5172ee38db59dc460a537330a7b157fba8b2dc1e72,9189b22d0813ca3ff740f3227919e0dd86fb67714652e41e7eb79cf505d6abfc,432284620658113fec668f29c8134abc6340dcfe10851801052ad189405038f9,yes,40fd716cbc17b3527dc35f5a8b5576110e690eb98678c4608d4d610a2dff2502,40fd716cbc17b3527dc35f5a8b5576110e690eb98678c4608d4d610a2dff2502,b64c8d376040afd517766b559a0008dda79f8d1936660b13ee17acbdda022717,b64c8d376040afd517766b559a0008dda79f8d1936660b13ee17acbdda022717,no,dd07676ed4f0f4b00aec475f4be62a5ce220a9a67ba2963078715f4fcf30e9a7,255,277,380,380,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-20,https://funnytools.win/tools/countdown-timer/,https://funnytools.win/tools/break-reminder/,zh-TW,time,dc6a78a3331391e8008b19d9430eb02b593cbe914b0f399bd7031bd0c7bbb774,09f5bb15fd0eeff829b38a21e8f341389a2691966235b8c3a3bedb22c8c0713a,513c59ad1ab054b89860ab64807bc2c20ef762bfa4e2598dfe2fc7193de69936,626d649c1b8cf191e2094fc876480f38c4e6377cf6217b8a334d27cbc9107ae6,yes,e56f14c73eef7c412c4fa1cc17c82ac8cacfef53dbaf7443170968ecb656c01a,e56f14c73eef7c412c4fa1cc17c82ac8cacfef53dbaf7443170968ecb656c01a,cc82fc01c88031d72434ae27a56e6f5dd9100c851fcfa7c65b27d6558f8b5790,cc82fc01c88031d72434ae27a56e6f5dd9100c851fcfa7c65b27d6558f8b5790,no,9f530f81f9e31886f6efb6d4c6f2d7bc2dd6fd579aa208f5257ce47591e77225,196,213,216,216,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
